Genes	Type
ADA	Senescence
ADAM28	Senescence
ADAM7	Senescence
ACTR1B	Senescence
ABTB1	Senescence
TAAR5	Senescence
ACADS	Senescence
ACSS1	Senescence
ACTA1	Senescence
TARBP2	Senescence
SFRP1	Senescence
STXBP2	Senescence
STC1	Senescence
STK11IP	Senescence
SFRS18	Senescence
STRN	Senescence
TBK1	Senescence
SUFU	Senescence
STK36	Senescence
SUMO1	Senescence
SUPT4H1	Senescence
SUPT7L	Senescence
TAF12	Senescence
TAF4B	Senescence
TAL1	Senescence
TALDO1	Senescence
SCNM1	Senescence
TBC1D10B	Senescence
TBCC	Senescence
SET	Senescence
SF3B1	Senescence
SF3B5	Senescence
SFI1	Senescence
SPRED1	Senescence
SFRP2	Senescence
SFRS14	Senescence
SFRS15	Senescence
SSBP3	Senescence
ST3GAL2	Senescence
STAT3	Senescence
KDR	Senescence
KHDRBS1	Senescence
KHSRP	Senescence
KIAA0101	Senescence
KIAA0241	Senescence
SULF1	Senescence
KIAA0391	Senescence
KIAA0652	Senescence
KIAA1143	Senescence
KIAA1217	Senescence
KIF15	Senescence
KIF26A	Senescence
KIF9	Senescence
KLF5	Senescence
SCNN1A	Senescence
SDC4	Senescence
SDCCAG1	Senescence
SEC22B	Senescence
SEC22C	Senescence
SEC24A	Senescence
SECISBP2	Senescence
SEMA3C	Senescence
SEMA4F	Senescence
SENP2	Senescence
SEPP1	Senescence
SERINC3	Senescence
SERP1	Senescence
SERPINA1	Senescence
SERPINH1	Senescence
TFPT	Senescence
THAP1	Senescence
THAP8	Senescence
THBS2	Senescence
TIA1	Senescence
SPRY1	Senescence
SS18L2	Senescence
SSBP2	Senescence
GPC4	Senescence
GPC6	Senescence
GPR108	Senescence
GRHL2	Senescence
GRIPAP1	Senescence
GRPEL2	Senescence
GSK3A	Senescence
GSPT2	Senescence
KIAA0368	Senescence
GSTT2	Senescence
GTF2E1	Senescence
GTF2H2	Senescence
GTF3C4	Senescence
GTPBP1	Senescence
GTPBP3	Senescence
GYPC	Senescence
H2AFJ	Senescence
KLF7	Senescence
KLHL18	Senescence
KLHL4	Senescence
KLHL5	Senescence
TBL1X	Senescence
TBL1XR1	Senescence
TBP	Senescence
TCEAL8	Senescence
TCERG1	Senescence
TCF20	Senescence
TCF7L1	Senescence
TCF7L2	Senescence
TDGF1	Senescence
TERF1	Senescence
TFB2M	Senescence
HIST3H2A	Senescence
HLTF	Senescence
HMBOX1	Senescence
HMG20A	Senescence
HMGN4	Senescence
HN1	Senescence
HNRNPA1	Senescence
HNRNPA2B1	Senescence
HNRPH2	Senescence
HNRPUL1	Senescence
SFRS4	Senescence
SFT2D3	Senescence
SGK	Senescence
SGK3	Senescence
SGMS1	Senescence
SILV	Senescence
SIN3B	Senescence
SKIL	Senescence
SLAIN2	Senescence
SLC1A1	Senescence
SLC30A7	Senescence
SLC36A4	Senescence
SLC39A9	Senescence
SLC40A1	Senescence
SLC44A1	Senescence
H2AFX	Senescence
H2AFZ	Senescence
HAS2	Senescence
HBP1	Senescence
HCFC1R1	Senescence
HECTD2	Senescence
HELLS	Senescence
HESX1	Senescence
HEXIM2	Senescence
HEY2	Senescence
HHEX	Senescence
HIGD2A	Senescence
HIST1H2BD	Senescence
HIST1H4C	Senescence
HIST2H2AA3	Senescence
SP2	Senescence
SPAG9	Senescence
SPARC	Senescence
SPG20	Senescence
SPIRE2	Senescence
JUN	Senescence
JUP	Senescence
KATNB1	Senescence
KCNN2	Senescence
KCTD15	Senescence
KCTD2	Senescence
KDELR3	Senescence
CSTF1	Senescence
CSTF3	Senescence
CTGF	Senescence
CTSL2	Senescence
CUGBP2	Senescence
CXADR	Senescence
CXorf26	Senescence
CYB5B	Senescence
CYLD	Senescence
CYP1B1	Senescence
CYP2R1	Senescence
CYP2S1	Senescence
CYR61	Senescence
DARS2	Senescence
DCAKD	Senescence
DCC1	Senescence
DCLRE1C	Senescence
DCTN5	Senescence
KNTC1	Senescence
KPNA3	Senescence
KRR1	Senescence
KRT18	Senescence
LAMA4	Senescence
LARGE	Senescence
LARP7	Senescence
LARS	Senescence
LCMT2	Senescence
LECT1	Senescence
LEFTY1	Senescence
LEFTY2	Senescence
LEPROTL1	Senescence
LHPP	Senescence
LIN37	Senescence
LINGO1	Senescence
LMCD1	Senescence
TIAL1	Senescence
TIAM1	Senescence
TIMP4	Senescence
TLCD1	Senescence
TLE2	Senescence
TLE3	Senescence
TMED10	Senescence
TMEM103	Senescence
TMEM108	Senescence
TMEM109	Senescence
GSTCD	Senescence
PHF23	Senescence
PHF8	Senescence
PHGDH	Senescence
PHTF2	Senescence
PICALM	Senescence
PIGL	Senescence
PIH1D1	Senescence
PIK3R2	Senescence
PIM2	Senescence
PIPOX	Senescence
PITX2	Senescence
PKIB	Senescence
PKIG	Senescence
PKMYT1	Senescence
PLEKHA3	Senescence
PLEKHG3	Senescence
PNMA1	Senescence
PODXL	Senescence
POLL	Senescence
POLR1A	Senescence
POLR3D	Senescence
POLR3G	Senescence
POU2F1	Senescence
POU4F1	Senescence
POU5F1	Senescence
PPAP2A	Senescence
PPFIBP1	Senescence
PPIL3	Senescence
PPP1R16B	Senescence
PPP1R2	Senescence
PPP2R1A	Senescence
PPP2R1B	Senescence
PPP2R3A	Senescence
HOXB5	Senescence
HSD17B12	Senescence
HSPA4	Senescence
HSPA5	Senescence
HSPBAP1	Senescence
HSPC111	Senescence
HSPC171	Senescence
ICMT	Senescence
ID1	Senescence
ID2	Senescence
IDH3A	Senescence
IER5L	Senescence
IFI16	Senescence
IFT52	Senescence
IGF2BP3	Senescence
SLC4A1A	Senescence
SLC7A11	Senescence
SLC7A5	Senescence
SMAD3	Senescence
SMARCA	Senescence
SMG5	Senescence
SNRP70	Senescence
SNRPA	Senescence
SNRPE	Senescence
SNRPN	Senescence
SNUPN	Senescence
SNX1	Senescence
SON	Senescence
SORBS1	Senescence
SOX2	Senescence
IWS1	Senescence
JARID2	Senescence
JMJD1A	Senescence
JOSD1	Senescence
JUB	Senescence
FEZ1	Senescence
FGF2	Senescence
FGFR1	Senescence
FGFR2	Senescence
FHIT	Senescence
FKBP1B	Senescence
FKSG24	Senescence
FLJ10769	Senescence
FLJ25801	Senescence
FLJ45455	Senescence
FOXJ2	Senescence
FOXN3	Senescence
FOXO1	Senescence
FOXO3	Senescence
FRAT2	Senescence
FUS	Senescence
FXR1	Senescence
FXYD5	Senescence
FZD10	Senescence
FZD2	Senescence
FZD7	Senescence
FZD8	Senescence
GALK2	Senescence
GANC	Senescence
GART	Senescence
GAS2L1	Senescence
GATA6	Senescence
GATAD1	Senescence
GBF1	Senescence
GDF3	Senescence
GGA1	Senescence
GIYD2	Senescence
GJA1	Senescence
GLA	Senescence
GLG1	Senescence
GLT8D3	Senescence
GLUD1	Senescence
GNA13	Senescence
GNAI1	Senescence
GNG10	Senescence
GNG12	Senescence
GNPTAB	Senescence
GOLGA4	Senescence
GOLIM4	Senescence
GORASP2	Senescence
RPS3A	Senescence
RRN3	Senescence
RRS1	Senescence
RSPRY1	Senescence
RSRC2	Senescence
RUNX1T1	Senescence
RYR3	Senescence
S100A11	Senescence
SALL1	Senescence
SALL2	Senescence
SALL3	Senescence
SART3	Senescence
SASH1	Senescence
SAT2	Senescence
SAV1	Senescence
SC5DL	Senescence
SCAF1	Senescence
SCG5	Senescence
SCGB3A2	Senescence
AK3	Senescence
AK3L1	Senescence
ALCAM	Senescence
ALG9	Senescence
ALKBH1	Senescence
ALKBH7	Senescence
AMIGO2	Senescence
AMOTL1	Senescence
ANGPT1	Senescence
ANKMY2	Senescence
ANKRD1	Senescence
ANKRD15	Senescence
ANKRD49	Senescence
ANP32A	Senescence
ANP32B	Senescence
ANXA1	Senescence
AP1G1	Senescence
AP1S2	Senescence
AP2A1	Senescence
AP3B1	Senescence
APEX2	Senescence
APH1A	Senescence
APLP2	Senescence
APOA2	Senescence
APOB	Senescence
APOM	Senescence
AQP2	Senescence
ARF3	Senescence
ARF4	Senescence
ARHGAP1	Senescence
ARHGAP11A	Senescence
ARID1B	Senescence
ARID5B	Senescence
ARIH1	Senescence
ARMC6	Senescence
ARMCX1	Senescence
ASAH1	Senescence
IGFBP2	Senescence
IGFBP3	Senescence
IL1RAPL1	Senescence
ILF2	Senescence
ILF3	Senescence
INF2	Senescence
ING1	Senescence
ING4	Senescence
INPP4A	Senescence
INTS12	Senescence
IQCK	Senescence
IRX2	Senescence
ISCU	Senescence
ISOC2	Senescence
ITGB1	Senescence
B2M	Senescence
B3GALT4	Senescence
B4GALT6	Senescence
BAG5	Senescence
BAMBI	Senescence
BAT3	Senescence
BCAT1	Senescence
BCKDHA	Senescence
BCL9	Senescence
BCL9L	Senescence
BCLAF1	Senescence
BLCAP	Senescence
BMP2	Senescence
BMP7	Senescence
BNIP1	Senescence
BSCL2	Senescence
BUB1B	Senescence
BUB3	Senescence
BZW2	Senescence
C10orf26	Senescence
C11orf1	Senescence
C11orf82	Senescence
C12orf35	Senescence
C12orf60	Senescence
C13orf7	Senescence
C14orf115	Senescence
C14orf122	Senescence
C14orf133	Senescence
C14orf138	Senescence
C14orf15	Senescence
C15orf24	Senescence
C15orf29	Senescence
C16orf63	Senescence
C16orf72	Senescence
C18orf37	Senescence
C19orf42	Senescence
C19orf54	Senescence
C19orf58	Senescence
C19orf6	Senescence
C1orf108	Senescence
C1orf121	Senescence
C1orf21	Senescence
C1orf211	Senescence
C1orf213	Senescence
C1orf54	Senescence
C1orf83	Senescence
C20orf194	Senescence
C20orf42	Senescence
C20orf52	Senescence
C20orf96	Senescence
C21orf59	Senescence
C22orf32	Senescence
C2orf44	Senescence
C2orf56	Senescence
C3orf10	Senescence
C3orf19	Senescence
C5orf4	Senescence
C6orf115	Senescence
C6orf117	Senescence
TMEM123	Senescence
TMEM135	Senescence
TMEM149	Senescence
TMEM160	Senescence
TMEM16H	Senescence
TMEM170	Senescence
TMEM43	Senescence
TMEM55B	Senescence
TMEM59	Senescence
TMEM60	Senescence
TMEM63A	Senescence
TMEM66	Senescence
TMEM77	Senescence
TMEM87A	Senescence
TMSB10	Senescence
TNC	Senescence
TNFRSF12A	Senescence
TNPO1	Senescence
TNRC6A	Senescence
TOMM40L	Senescence
TOP2A	Senescence
TPX2	Senescence
TRAF7	Senescence
TRIM16	Senescence
TRIM22	Senescence
TRIM24	Senescence
TRIP10	Senescence
TRIP4	Senescence
TRPC4AP	Senescence
TSC22D1	Senescence
TSC22D2	Senescence
TSPAN6	Senescence
TSSC1	Senescence
TTC31	Senescence
TTF1	Senescence
TTF2	Senescence
TUBG1	Senescence
TXNDC5	Senescence
TXNRD1	Senescence
TYW3	Senescence
UBAP2	Senescence
UBC	Senescence
UBE2D3	Senescence
UBE2S	Senescence
UBE2T	Senescence
UBE2W	Senescence
UBP1	Senescence
ASAM	Senescence
ASB1	Senescence
ASCC2	Senescence
ASXL1	Senescence
ATAD2	Senescence
ATF4	Senescence
ATG4C	Senescence
ATP11C	Senescence
ATP5F1	Senescence
ATP6V1A	Senescence
ATP6V1G	Senescence
ATPBD4	Senescence
ATPIF1	Senescence
AURKA	Senescence
AXIN2	Senescence
UXS1	Senescence
VAPB	Senescence
VCAN	Senescence
VIM	Senescence
VLDLR	Senescence
VPS35	Senescence
VPS52	Senescence
VRK2	Senescence
VRK3	Senescence
WARS	Senescence
WBP11	Senescence
WDHD1	Senescence
WDR20	Senescence
WDR23	Senescence
WDR36	Senescence
WDR6	Senescence
WDR62	Senescence
WDR77	Senescence
WDR81	Senescence
WDSOF1	Senescence
WDTC1	Senescence
WEE1	Senescence
WHSC1L1	Senescence
WWC3	Senescence
XAB1	Senescence
XAB2	Senescence
YAP1	Senescence
ZCCHC3	Senescence
ZCRB1	Senescence
ZEB2	Senescence
ZFAND6	Senescence
ZFP36L1	Senescence
ZFP42	Senescence
ZIC1	Senescence
ZIC2	Senescence
ZIC3	Senescence
ZIK1	Senescence
ZNF174	Senescence
ZNF185	Senescence
ZNF202	Senescence
ZNF217	Senescence
ZNF226	Senescence
ZNF228	Senescence
ZNF281	Senescence
ZNF286A	Senescence
ZNF300	Senescence
ZNF331	Senescence
ZNF398	Senescence
ZNF434	Senescence
ZNF473	Senescence
ZNF516	Senescence
ZNF521	Senescence
ZNF551	Senescence
ZNF664	Senescence
ZNF684	Senescence
ZNF701	Senescence
ZNF770	Senescence
ZNRF2	Senescence
ZRF1	Senescence
ZSCAN10	Senescence
DPYSL3	Senescence
DTNA	Senescence
DTX2	Senescence
DUSP12	Senescence
DUSP6	Senescence
DVL2	Senescence
DYM	Senescence
E2F3	Senescence
ECOP	Senescence
EEF1E1	Senescence
EEF2	Senescence
EGLN3	Senescence
EHBP1	Senescence
EHD4	Senescence
EIF2A	Senescence
EIF2AK3	Senescence
EIF3D	Senescence
EIF3F	Senescence
EIF4B	Senescence
EIF4ENIF1	Senescence
EIF4G2	Senescence
ELL2	Senescence
ENPP2	Senescence
ENSA	Senescence
ENTPD1	Senescence
EOMES	Senescence
EPHA1	Senescence
EPM2AIP1	Senescence
EPS15L1	Senescence
ERBB2	Senescence
ERCC1	Senescence
ERH	Senescence
PPP2R3C	Senescence
PPP2R5C	Senescence
PRCP	Senescence
PRDM14	Senescence
PREPL	Senescence
PRKCDBP	Senescence
PRNP	Senescence
PRPF19	Senescence
PRPF31	Senescence
PRPF38A	Senescence
PRPF39	Senescence
PRR11	Senescence
PRSS8	Senescence
PSEN2	Senescence
PSENEN	Senescence
PSMA1	Senescence
PSMB1	Senescence
PSMB4	Senescence
PSMB5	Senescence
PSMC2	Senescence
PSMD14	Senescence
PSMD9	Senescence
PTCD3	Senescence
PTN	Senescence
PTPN1	Senescence
PTPN2	Senescence
PWP1	Senescence
PXMP3	Senescence
QARS	Senescence
R3HDM1	Senescence
RAB15	Senescence
RAB17	Senescence
RAB25	Senescence
RAB38	Senescence
RAB3GAP2	Senescence
RAB5A	Senescence
RAB5B	Senescence
RABL3	Senescence
RABL4	Senescence
RAD23A	Senescence
RAD54B	Senescence
RAI1	Senescence
RANBP10	Senescence
RANGAP1	Senescence
RAP1A	Senescence
RARB	Senescence
RASA1	Senescence
RASGRF2	Senescence
RASL11B	Senescence
RBBP4	Senescence
RBM14	Senescence
RBM22	Senescence
RBM39	Senescence
RBM4	Senescence
RBM7	Senescence
RBM9	Senescence
RBP1	Senescence
RBPMS	Senescence
REST	Senescence
RFX1	Senescence
RGS10	Senescence
RIC8B	Senescence
RIF1	Senescence
RIPK1	Senescence
RNF121	Senescence
RNF2	Senescence
RNF24	Senescence
RNF25	Senescence
RNF31	Senescence
ROR1	Senescence
RP11-529I10	Senescence
RPL17	Senescence
RPL21	Senescence
RPL32	Senescence
RPLP1	Senescence
RPP25	Senescence
RPS13	Senescence
RPS18	Senescence
RPS26	Senescence
RPS27A	Senescence
AASDH	Senescence
ABCB7	Senescence
ABCF2	Senescence
ABHD11	Senescence
ABHD2	Senescence
ACADM	Senescence
ACAT2	Senescence
ACO2	Senescence
ACOT8	Senescence
ACSL4	Senescence
ACTR1A	Senescence
ACTR1B	Senescence
ADAL	Senescence
ADAR	Senescence
ADD3	Senescence
ADFP	Senescence
ADO	Senescence
ADRBK2	Senescence
AHSA1	Senescence
CACNA1A	Senescence
CACNA2D	Senescence
CALB1	Senescence
CALD1	Senescence
CALM2	Senescence
CALR	Senescence
CAND1	Senescence
CAPZA2	Senescence
CARS2	Senescence
CASP9	Senescence
CAV1	Senescence
CBX3	Senescence
CBX5	Senescence
CCDC104	Senescence
CCDC12	Senescence
CCDC45	Senescence
CCDC93	Senescence
CCDC94	Senescence
CCT6B	Senescence
CCT7	Senescence
CDC123	Senescence
CDC14B	Senescence
CDC16	Senescence
CDC2	Senescence
CDC42EP4	Senescence
CDC45L	Senescence
CDC7	Senescence
CDH1	Senescence
CDH2	Senescence
CDK6	Senescence
CDS2	Senescence
CDYL	Senescence
CEBPZ	Senescence
CEPT1	Senescence
CER1	Senescence
CETN3	Senescence
CFL1	Senescence
CHCHD5	Senescence
CHD2	Senescence
CHST4	Senescence
CISD1	Senescence
CITED2	Senescence
CKS2	Senescence
CLDN6	Senescence
CLIC1	Senescence
CLIC4	Senescence
CLN3	Senescence
CNBP	Senescence
CNN2	Senescence
CNN3	Senescence
CNOT8	Senescence
CNTNAP3	Senescence
COG7	Senescence
COL12A1	Senescence
COL4A5	Senescence
COL4A6	Senescence
COL7A1	Senescence
COMMD3	Senescence
COMMD7	Senescence
COPE	Senescence
COTL1	Senescence
COX6A1	Senescence
CPT1A	Senescence
CRYZ	Senescence
CS	Senescence
CSNK1E	Senescence
NOL6	Senescence
NOLC1	Senescence
NOPE	Senescence
NP	Senescence
NPAS2	Senescence
NSUN3	Senescence
NT5C2	Senescence
NUCKS1	Senescence
NUDT5	Senescence
NUP54	Senescence
NUSAP1	Senescence
NVL	Senescence
OAZ2	Senescence
OBSL1	Senescence
ODF2L	Senescence
OIP5	Senescence
OLFML3	Senescence
ORC1L	Senescence
DCUN1D5	Senescence
DCX	Senescence
DDX17	Senescence
DDX18	Senescence
DDX20	Senescence
DDX23	Senescence
DDX39	Senescence
DDX41	Senescence
DDX49	Senescence
DDX5	Senescence
DHCR7	Senescence
DHDDS	Senescence
DHRS3	Senescence
DHX38	Senescence
DIDO1	Senescence
DIRC2	Senescence
DKK1	Senescence
LOH11CR2A	Senescence
LRAT	Senescence
LRFN3	Senescence
LRIG3	Senescence
LRP2	Senescence
LRP3	Senescence
LRRC49	Senescence
LRRN1	Senescence
LSM3	Senescence
LSM5	Senescence
C6orf166	Senescence
C8orf42	Senescence
C8orf70	Senescence
C9orf19	Senescence
C9orf5	Senescence
C9orf82	Senescence
CA2	Senescence
CA4	Senescence
CABLES1	Senescence
CACHD1	Senescence
MAT2B	Senescence
MBOAT2	Senescence
MCC	Senescence
MCTS1	Senescence
MDH1	Senescence
MED12	Senescence
MED23	Senescence
MED25	Senescence
MEF2A	Senescence
METTL7A	Senescence
METTL8	Senescence
MGEA5	Senescence
MICA	Senescence
MICB	Senescence
MIR16	Senescence
MKKS	Senescence
MKRN1	Senescence
MLH1	Senescence
MLLT10	Senescence
MMP2	Senescence
MMP9	Senescence
MOBKL2B	Senescence
MOBP	Senescence
ETNK1	Senescence
EXDL2	Senescence
EXOC4	Senescence
EXOSC5	Senescence
EXOSC9	Senescence
EXPH5	Senescence
EXTL2	Senescence
F11R	Senescence
FAM100A	Senescence
FAM100B	Senescence
FAM115A	Senescence
FAM124A	Senescence
FAM128A	Senescence
FAM131B	Senescence
FAM134C	Senescence
FAM20C	Senescence
FAM33A	Senescence
FAM35A	Senescence
FAM54A	Senescence
FAM63B	Senescence
FAM72B	Senescence
FAM92A1	Senescence
FAM96A	Senescence
FANCA	Senescence
FANCF	Senescence
FANCL	Senescence
FARSA	Senescence
FAT	Senescence
FBLN1	Senescence
FBXL11	Senescence
FBXL14	Senescence
FBXO31	Senescence
FBXW11	Senescence
FDPS	Senescence
FEM1A	Senescence
FEM1C	Senescence
NIP30	Senescence
NIP7	Senescence
NKTR	Senescence
NME7	Senescence
NMT1	Senescence
NMU	Senescence
NOC3L	Senescence
NODAL	Senescence
DNM2	Senescence
DPAGT1	Senescence
DPM1	Senescence
DPPA4	Senescence
DPYSL2	Senescence
LSMD1	Senescence
LYPD1	Senescence
MAN2C1	Senescence
MAP1LC3B	Senescence
MAP3K11	Senescence
MAP3K12	Senescence
MAPK14	Senescence
MAPK8	Senescence
MARVELD2	Senescence
MYST3	Senescence
NAALAD2	Senescence
NADSYN1	Senescence
NANOG	Senescence
ORC6L	Senescence
OSBPL1A	Senescence
OSGEP	Senescence
OSR1	Senescence
OTUB1	Senescence
OTUD7B	Senescence
OXA1L	Senescence
P15RS	Senescence
P4HA1	Senescence
PALB2	Senescence
PAPSS2	Senescence
PARG	Senescence
PARP8	Senescence
PBX1	Senescence
PCBP1	Senescence
PCNA	Senescence
DLG7	Senescence
DMXL1	Senescence
DNAJB14	Senescence
DNAJC16	Senescence
DNAJC8	Senescence
DNAJC9	Senescence
MPDZ	Senescence
MPP6	Senescence
MRE11A	Senescence
MRPL27	Senescence
MRPL37	Senescence
MSC	Senescence
MSH2	Senescence
MSL3L1	Senescence
MST150	Senescence
MTM1	Senescence
MTMR1	Senescence
MUS81	Senescence
MYEF2	Senescence
MYO3A	Senescence
NEBL	Senescence
UBQLN4	Senescence
UBR5	Senescence
UCRC	Senescence
NAP1L2	Senescence
NAT12	Senescence
NBR1	Senescence
NCAPD2	Senescence
NCOR1	Senescence
NDNL2	Senescence
NDUFA13	Senescence
NDUFB3	Senescence
NDUFS2	Senescence
PDPN	Senescence
NEDD4L	Senescence
NFAT5	Senescence
NFE2L3	Senescence
NFS1	Senescence
NIF3L1	Senescence
PHF17	Senescence
UIMC1	Senescence
PCNXL3	Senescence
PCTK1	Senescence
MORF4L1	Senescence
MORF4L2	Senescence
MOV10	Senescence
USP3	Senescence
PEA15	Senescence
PERLD1	Senescence
PERP	Senescence
PEX1	Senescence
PFTK1	Senescence
UFM1	Senescence
USP10	Senescence
UNC5D	Senescence
UNQ501	Senescence
URM1	Senescence
USP7	Senescence
USP16	Senescence
PDHB	Senescence
USP44	Senescence
UTP14A	Senescence
PDCL	Senescence
UFD1L	Senescence
PCTK2	Senescence
MMP2	Senescence
MLLT10	Senescence
SALL1	Senescence
RFNG	Senescence
RIC8B	Senescence
RDH10	Senescence
REST	Senescence
RPL32	Senescence
KLHL5	Senescence
RPS18	Senescence
RPS3A	Senescence
MEIS2	Senescence
MGEA5	Senescence
MKRN1	Senescence
PPP2R3A	Senescence
PRDM14	Senescence
MRPL13	Senescence
MSC	Senescence
RIF1	Senescence
RNF24	Senescence
ROR1	Senescence
PSMA3	Senescence
PTPN2	Senescence
RAB5A	Senescence
RAD51C	Senescence
RAD54B	Senescence
RASGRF2	Senescence
RBM22	Senescence
GADD45G	Senescence
GAP43	Senescence
GAS1	Senescence
GATA6	Senescence
GJA1	Senescence
GLDC	Senescence
GNG10	Senescence
GNPTAB	Senescence
LAMA4	Senescence
LARGE	Senescence
LEFTY2	Senescence
LHPP	Senescence
LINGO1	Senescence
LRAT	Senescence
LRFN3	Senescence
LRRN1	Senescence
LSG1	Senescence
MAGED2	Senescence
MAN2C1	Senescence
MAP3K3	Senescence
MCC	Senescence
MED11	Senescence
MED12	Senescence
SMG5	Senescence
SNRPN	Senescence
SNX5	Senescence
SORBS1	Senescence
SOX17	Senescence
PRKCDBP	Senescence
PRKRIP1	Senescence
PRPF31	Senescence
PRPF38A	Senescence
PRPS1	Senescence
PRR11	Senescence
FGFR2	Senescence
FLJ10769	Senescence
FOXO1	Senescence
FRAT2	Senescence
FUS	Senescence
FZD10	Senescence
ABTB2	Senescence
ACD	Senescence
ADD3	Senescence
ALKBH1	Senescence
AMIGO2	Senescence
ANKHD1	Senescence
ANKRD1	Senescence
ANKRD15	Senescence
GPC3	Senescence
GPS1	Senescence
GRHL2	Senescence
GRID2	Senescence
SET	Senescence
SFRP1	Senescence
SFRP2	Senescence
SFRS18	Senescence
SFRS4	Senescence
SFXN1	Senescence
SGMS1	Senescence
SKIL	Senescence
SLC44A1	Senescence
SLC4A1A	Senescence
SMARCA	Senescence
C12orf35	Senescence
C13orf7	Senescence
C14orf15	Senescence
C15orf29	Senescence
C1orf211	Senescence
C9orf97	Senescence
CA2	Senescence
CA4	Senescence
MST150	Senescence
MTM1	Senescence
MYEF2	Senescence
MYST3	Senescence
NAALAD2	Senescence
NANOG	Senescence
NAT12	Senescence
NCBP1	Senescence
NEBL	Senescence
NEFL	Senescence
NEFM	Senescence
NFE2L3	Senescence
NPLOC4	Senescence
NR2F2	Senescence
NUCKS1	Senescence
NUDT5	Senescence
OBSL1	Senescence
ARID1B	Senescence
ARMCX5	Senescence
ARPC5	Senescence
ATAD2	Senescence
ATP6V1D	Senescence
ATP6V1G	Senescence
ATPBD4	Senescence
AUH	Senescence
B3GALT4	Senescence
BAG5	Senescence
BAMBI	Senescence
BLCAP	Senescence
BMP7	Senescence
BUB1B	Senescence
BUB3	Senescence
POLR3G	Senescence
POU5F1	Senescence
PPAP2A	Senescence
PPP2R1B	Senescence
EOMES	Senescence
EPHA1	Senescence
EXOSC9	Senescence
FAM33A	Senescence
FBXW11	Senescence
FEZ1	Senescence
FGF2	Senescence
FGFR1	Senescence
JMJD1A	Senescence
JOSD1	Senescence
JUND	Senescence
JUP	Senescence
KCNMB4	Senescence
AASDH	Senescence
KDR	Senescence
KIAA0101	Senescence
KIAA0174	Senescence
KIAA1143	Senescence
KIAA1279	Senescence
KIF15	Senescence
KLF5	Senescence
KLF7	Senescence
KLHL4	Senescence
TGIF2	Senescence
THBS2	Senescence
TJP3	Senescence
GTF3C4	Senescence
GTPBP1	Senescence
GTPBP3	Senescence
H2AFJ	Senescence
HAS2	Senescence
HESX1	Senescence
HHEX	Senescence
HHLA3	Senescence
HIST2H2	Senescence
HMG20A	Senescence
HMGB2	Senescence
HN1	Senescence
HOXB5	Senescence
HYPE	Senescence
ICMT	Senescence
ID2	Senescence
IER5L	Senescence
IFI16	Senescence
IL1RAPL1	Senescence
INF2	Senescence
IRX2	Senescence
JARID2	Senescence
CACNA2D	Senescence
CAPZA2	Senescence
CBY1	Senescence
CCDC94	Senescence
CDC123	Senescence
CDC14B	Senescence
CDC7	Senescence
CDH1	Senescence
CDYL	Senescence
CHST5	Senescence
CNTNAP3	Senescence
COL12A1	Senescence
COMMD3	Senescence
COMMD7	Senescence
OLFML3	Senescence
ORC1L	Senescence
OSR1	Senescence
PAK1	Senescence
TLE3	Senescence
TMEM16H	Senescence
TMEM170	Senescence
TMEM30A	Senescence
TNC	Senescence
TNRC6A	Senescence
TOP2A	Senescence
TRA2A	Senescence
TRIM22	Senescence
TRIM24	Senescence
TRIP4	Senescence
TRPS1	Senescence
TSC22D1	Senescence
TXN2	Senescence
UBE2D3	Senescence
UBR5	Senescence
UFM1	Senescence
URM1	Senescence
USP44	Senescence
USP7	Senescence
VPS52	Senescence
CABLES1	Senescence
STAT3	Senescence
STMN2	Senescence
SULF1	Senescence
SUPT7L	Senescence
TAF12	Senescence
TAL1	Senescence
KCNN2	Senescence
TALDO1	Senescence
TBC1D22	Senescence
TBL1XR1	Senescence
TCF12	Senescence
TCF20	Senescence
TCF4	Senescence
TCF7L1	Senescence
TDGF1	Senescence
TFPT	Senescence
CTGF	Senescence
CXorf26	Senescence
PARD3	Senescence
PARG	Senescence
PCTK2	Senescence
PDCL	Senescence
PFTK1	Senescence
PHF17	Senescence
PHF8	Senescence
PHGDH	Senescence
PIP5K1C	Senescence
PIPOX	Senescence
PLAA	Senescence
EFTUD1	Senescence
EIF2S1	Senescence
ELAVL2	Senescence
ENPP2	Senescence
ENTPD1	Senescence
ZFP36L1	Senescence
ZHX2	Senescence
SOX2	Senescence
SPAG9	Senescence
SPRED1	Senescence
SSBP2	Senescence
WDFY3	Senescence
WDR20	Senescence
WDR36	Senescence
WDR70	Senescence
WEE1	Senescence
ZDHHC6	Senescence
ZEB2	Senescence
DHDDS	Senescence
DHRS3	Senescence
ZIC1	Senescence
ZIC2	Senescence
ZIC3	Senescence
ZKSCAN5	Senescence
ZMPSTE2	Senescence
DTNA	Senescence
CPT1A	Senescence
DUSP6	Senescence
DPYSL2	Senescence
DBR1	Senescence
DDX31	Senescence
DPPA4	Senescence
DKK1	Senescence
DNAJC9	Senescence
DUSP12	Senescence
DPYSL3	Senescence
AK3	Stemness
LEFTY1	Stemness
RNF138	Stemness
GAL	Stemness
VRK1	Stemness
VSNL1	Stemness
DPPA4	Stemness
DUSP6	Stemness
FAM162A	Stemness
FRAT2	Stemness
POU5F1	Stemness
MYO10	Stemness
PLP1	Stemness
POLR3G	Stemness
SEPHS1	Stemness
