Genes	Type
TIMM17B	Stemness
TLE1	Stemness
TMEFF1	Stemness
TMEM132A	Stemness
TMEM169	Stemness
TMEM261	Stemness
TMEM50B	Stemness
TMSB15B	Stemness
TNC	Stemness
TNFRSF8	Stemness
TNNI3	Stemness
TOMM40	Stemness
DIDO1	Stemness
DLG3	Stemness
DNAH11	Stemness
DNAJB6	Stemness
DNMT3A	Stemness
DNMT3B	Stemness
DPPA4	Stemness
DPY30	Stemness
DSG2	Stemness
IFITM1	Stemness
IGFBPL1	Stemness
IGJ	Stemness
IGSF3	Stemness
IMP-1	Stemness
IMP-2	Stemness
IMPA2	Stemness
INPP5F	Stemness
INTU	Stemness
IRX2	Stemness
ISX	Stemness
ITM2C	Stemness
JARID2	Stemness
KALRN	Stemness
KCNQ2	Stemness
KDELC1	Stemness
KDM4A	Stemness
KIAA0522	Stemness
ETV4	Stemness
EXOSC7	Stemness
EYA4	Stemness
F2RL1	Stemness
FABP5	Stemness
FALZ	Stemness
FAM124A	Stemness
FAM126A	Stemness
FAM46B	Stemness
FAM60A	Stemness
FAM72B	Stemness
FAM83H	Stemness
FAM84B	Stemness
FAPP2	Stemness
LAGE3	Stemness
LAPTM4B	Stemness
ZNF398	Stemness
ZNF423	Stemness
ZNF473	Stemness
ZNF496	Stemness
ZNF578	Stemness
ZNF589	Stemness
ZNF697	Stemness
ZNF829	Stemness
ZNRF3	Stemness
ZSCAN26	Stemness
FLAD1	Stemness
FLJ10156	Stemness
FLJ10700	Stemness
FLJ10884	Stemness
FLJ12484	Stemness
FLJ12644	Stemness
FLJ20105	Stemness
FLJ20171	Stemness
FLJ21168	Stemness
FLJ30594	Stemness
FLJ34633	Stemness
FLVCR1	Stemness
FLVCR1-AS1	Stemness
FNBP1L	Stemness
FOXA3	Stemness
FOXD3	Stemness
FUBP1	Stemness
FZD7	Stemness
FZD8	Stemness
GABARAPL1	Stemness
GABRA1	Stemness
GABRB3	Stemness
GAL	Stemness
GAP43	Stemness
GARNL4	Stemness
GCHFR	Stemness
GCSAML-AS1	Stemness
GCSH	Stemness
GFPT2	Stemness
GGT5	Stemness
GGT7	Stemness
GID8	Stemness
GJA1	Stemness
GLDC	Stemness
GLI1	Stemness
GLI2	Stemness
GLI3	Stemness
GLT1D1	Stemness
GMNN	Stemness
GNPDA1	Stemness
GPC3	Stemness
GPC4	Stemness
GPM6B	Stemness
GPR19	Stemness
GPR27	Stemness
GPRC5B	Stemness
GRAMD1A	Stemness
GRB7	Stemness
GSTP1	Stemness
GUCA1A	Stemness
H19	Stemness
H3F3A	Stemness
HAPLN4	Stemness
HDHD1	Stemness
HELLS	Stemness
HESX1	Stemness
HEY2	Stemness
HIC2	Stemness
HINT1	Stemness
HIP1	Stemness
HK1	Stemness
HMGA1	Stemness
HMGB3	Stemness
HMGCR	Stemness
HNRPAB	Stemness
HNRPU	Stemness
HOOK1	Stemness
HRASLS3	Stemness
HSBP1	Stemness
